MSW93_Order,MSW93_Family,MSW93_Genus,MSW93_Species,MSW93_Binomial,AdultBodyMass_g,Mass (kg),PopulationDensity_n/km2,Biomass_density,Lat,Lon
Artiodactyla,Camelidae,Camelus,dromedarius,Camelus dromedarius,488000,488,0.97,473.36,,
Sirenia,Trichechidae,Trichechus,inunguis,Trichechus inunguis,4180000,4180,,0,,
Carnivora,Phocidae,Leptonychotes,weddellii,Leptonychotes weddellii,400000,400,0.12,48,,
Carnivora,Ursidae,Ursus,maritimus,Ursus maritimus,375000,375,0.00705,2.64375,,
Carnivora,Phocidae,Cystophora,cristata,Cystophora cristata,279000,279,0.00482,1.34478,,
Artiodactyla,Bovidae,Kobus,ellipsiprymnus,Kobus ellipsiprymnus,202000,202,2.4,484.8,-6.47,14.41
Carnivora,Phocidae,Halichoerus,grypus,Halichoerus grypus,197000,197,,0,,
Artiodactyla,Bovidae,Connochaetes,taurinus,Connochaetes taurinus,196000,196,7.77,1522.92,-15.63,26.5
Carnivora,Ursidae,Ursus,arctos,Ursus arctos,196000,196,0.02,3.92,50.76,5.93
Carnivora,Felidae,Panthera,tigris,Panthera tigris,163000,163,0.03,4.89,21.02,105.29
Carnivora,Felidae,Panthera,leo,Panthera leo,159000,159,0.11,17.49,-3.41,28.65
Carnivora,Phocidae,Phoca,groenlandica,Phoca groenlandica,132000,132,0.09,11.88,,
Carnivora,Ursidae,Ursus,americanus,Ursus americanus,111000,111,0.73,81.03,47.57,-1.76E-08
Carnivora,Phocidae,Phoca,largha,Phoca largha,99300,99.3,,0,,
Carnivora,Ursidae,Melursus,ursinus,Melursus ursinus,98900,98.9,0.14,13.846,18.25,85.13
Carnivora,Phocidae,Phoca,vitulina,Phoca vitulina,87300,87.3,5.68,495.864,,
Carnivora,Felidae,Panthera,onca,Panthera onca,84900,84.9,0.04,3.396,-1.76,-73.43
Artiodactyla,Bovidae,Ovis,canadensis,Ovis canadensis,74600,74.6,1.51,112.646,40.48,-112.75
Artiodactyla,Bovidae,Oreamnos,americanus,Oreamnos americanus,71300,71.3,,0,54.06,-131.08
Carnivora,Phocidae,Phoca,hispida,Phoca hispida,71100,71.1,0.95,67.545,,
Tubulidentata,Orycteropodidae,Orycteropus,afer,Orycteropus afer,58200,58.2,,0,-5.68,16.93
Carnivora,Felidae,Puma,concolor,Puma concolor,53900,53.9,0.02,1.078,3.28,-85.07
Carnivora,Felidae,Acinonyx,jubatus,Acinonyx jubatus,50500,50.5,0.01,0.505,4.24,22.95
Rodentia,Hydrochaeridae,Hydrochaeris,hydrochaeris,Hydrochaeris hydrochaeris,47500,47.5,126,5985,-13.51,-57.42
Artiodactyla,Antilocapridae,Antilocapra,americana,Antilocapra americana,46900,46.9,0.83,38.927,37.21,-108.14
Primates,Hominidae,Pan,troglodytes,Pan troglodytes,45100,45.1,1.64,73.964,2.2,7.81
Xenarthra,Dasypodidae,Priodontes,maximus,Priodontes maximus,42700,42.7,0.35,14.945,-9.26,-61.24
Carnivora,Otariidae,Arctocephalus,galapagoensis,Arctocephalus galapagoensis,39500,39.5,,0,,
Diprotodontia,Macropodidae,Macropus,rufus,Macropus rufus,39000,39,3.17,123.63,-26.58,131.89
Carnivora,Hyaenidae,Hyaena,hyaena,Hyaena hyaena,35100,35.1,,0,16.93,34.64
Carnivora,Canidae,Canis,lupus,Canis lupus,35000,35,0.01,0.35,47.38,3.9
Xenarthra,Myrmecophagidae,Myrmecophaga,tridactyla,Myrmecophaga tridactyla,27900,27.9,1.1,30.69,-7.71,-62.79
Carnivora,Mustelidae,Enhydra,lutris,Enhydra lutris,27500,27.5,6.47,177.925,,
Diprotodontia,Vombatidae,Lasiorhinus,latifrons,Lasiorhinus latifrons,26200,26.2,68,1781.6,-32.27,133.28
Diprotodontia,Macropodidae,Macropus,robustus,Macropus robustus,26000,26,40,1040,-23.95,133.39
Artiodactyla,Cervidae,Capreolus,capreolus,Capreolus capreolus,22400,22.4,7.72,172.928,51.25,22.79
Carnivora,Canidae,Lycaon,pictus,Lycaon pictus,22000,22,0.01,0.22,-2.74,18.43
Rodentia,Hystricidae,Hystrix,africaeaustralis,Hystrix africaeaustralis,14900,14.9,,0,-17.01,24.88
Carnivora,Viverridae,Arctictis,binturong,Arctictis binturong,13000,13,,0,9.84,104.16
Carnivora,Mustelidae,Gulo,gulo,Gulo gulo,12800,12.8,0.00792,0.101376,60.67,5.93
Carnivora,Canidae,Canis,latrans,Canis latrans,12000,12,0.25,3,39.7,-117.6
Carnivora,Felidae,Leopardus,pardalis,Leopardus pardalis,11900,11.9,0.43,5.117,-0.41,-74.28
Carnivora,Mustelidae,Meles,meles,Meles meles,11900,11.9,2.54,30.226,43.47,67.67
Artiodactyla,Bovidae,Raphicerus,campestris,Raphicerus campestris,11600,11.6,1.24,14.384,-16.61,26.74
Primates,Cercopithecidae,Colobus,guereza,Colobus guereza,10000,10,100,1000,5.15,26.26
Monotremata,Tachyglossidae,Zaglossus,bruijni,Zaglossus bruijni,8950,8.95,1.6,14.32,-4.95,139.79
Carnivora,Mustelidae,Lutra,lutra,Lutra lutra,8860,8.86,0.85,7.531,27.69,72.5
Dasyuromorphia,Dasyuridae,Sarcophilus,laniarius,Sarcophilus laniarius,8350,8.35,5.9,49.265,-42.14,146.48
Diprotodontia,Macropodidae,Dendrolagus,matschiei,Dendrolagus matschiei,8320,8.32,,0,-6.13,147.36
Carnivora,Hyaenidae,Proteles,cristatus,Proteles cristatus,8290,8.29,0.82,6.7978,-5.74,31.56
Rodentia,Agoutidae,Agouti,paca,Agouti paca,8180,8.18,49,400.82,-3.86,-68.08
Pholidota,Manidae,Manis,crassicaudata,Manis crassicaudata,8020,8.02,,0,19.57,79
Carnivora,Mustelidae,Taxidea,taxus,Taxidea taxus,7840,7.84,1.98,15.5232,38.45,-101.73
Carnivora,Procyonidae,Procyon,cancrivorus,Procyon cancrivorus,6950,6.95,5.82,40.449,-11.16,-59.17
Primates,Cebidae,Alouatta,palliata,Alouatta palliata,6580,6.58,59,388.22,6.95,-86.17
Diprotodontia,Phascolarctidae,Phascolarctos,cinereus,Phascolarctos cinereus,6580,6.58,164,1079.12,-28.2,145.92
Primates,Cercopithecidae,Macaca,mulatta,Macaca mulatta,6450,6.45,11.1,71.595,25.07,96.67
Carnivora,Felidae,Lynx,rufus,Lynx rufus,6390,6.39,0.1,0.639,37.75,-94.33
Carnivora,Procyonidae,Procyon,lotor,Procyon lotor,6370,6.37,3.29,20.9573,32.99,-94.43
Carnivora,Canidae,Cerdocyon,thous,Cerdocyon thous,5740,5.74,3.59,20.6066,-11.22,-55.68
Xenarthra,Megalonychidae,Choloepus,hoffmanni,Choloepus hoffmanni,5510,5.51,120,661.2,-0.19,-75.97
Diprotodontia,Macropodidae,Thylogale,thetis,Thylogale thetis,5400,5.4,360,1944,-29.76,151.4
Diprotodontia,Macropodidae,Macropus,eugenii,Macropus eugenii,5280,5.28,73.9,390.192,-32.25,125.9
Rodentia,Capromyidae,Capromys,pilorides,Capromys pilorides,5200,5.2,,0,21.51,-79.54
Carnivora,Ursidae,Ailurus,fulgens,Ailurus fulgens,5170,5.17,,0,28.38,94.38
Primates,Cercopithecidae,Cercopithecus,mitis,Cercopithecus mitis,5040,5.04,70.4,354.816,-10.49,29.52
Artiodactyla,Bovidae,Cephalophus,monticola,Cephalophus monticola,4860,4.86,35.7,173.502,-12.45,23.22
Pholidota,Manidae,Manis,javanica,Manis javanica,4860,4.86,,0,6.31,106.7
Carnivora,Canidae,Vulpes,vulpes,Vulpes vulpes,4840,4.84,1.11,5.3724,43.1,-1.76E-08
Xenarthra,Dasypodidae,Euphractus,sexcinctus,Euphractus sexcinctus,4780,4.78,1.8,8.604,-16.24,-50.43
Artiodactyla,Bovidae,Madoqua,kirkii,Madoqua kirkii,4770,4.77,19,90.63,-6.58,31.14
Rodentia,Chinchillidae,Lagostomus,maximus,Lagostomus maximus,4660,4.66,,0,-29.96,-63.2
Xenarthra,Myrmecophagidae,Tamandua,tetradactyla,Tamandua tetradactyla,4650,4.65,5.39,25.0635,-10.06,-56.5
Carnivora,Procyonidae,Nasua,narica,Nasua narica,4580,4.58,6.11,27.9838,21.26,-95.33
Xenarthra,Dasypodidae,Chaetophractus,villosus,Chaetophractus villosus,4540,4.54,,0,-33.67,-62.32
Monotremata,Tachyglossidae,Tachyglossus,aculeatus,Tachyglossus aculeatus,4500,4.5,,0,-22.26,133.39
Carnivora,Felidae,Felis,silvestris,Felis silvestris,4490,4.49,2.95,13.2455,8.59,47.3
Carnivora,Canidae,Nyctereutes,procyonoides,Nyctereutes procyonoides,4220,4.22,12,50.64,38.26,109.24
Diprotodontia,Macropodidae,Macropus,parma,Macropus parma,4160,4.16,,0,-31.52,151.29
Carnivora,Mustelidae,Eira,barbara,Eira barbara,4140,4.14,1.8,7.452,-4.49,-72.54
Rodentia,Erethizontidae,Coendou,prehensilis,Coendou prehensilis,4120,4.12,36.2,149.144,-8.43,-53.78
Rodentia,Sciuridae,Marmota,marmota,Marmota marmota,4060,4.06,588,2387.28,46.15,9.96
Diprotodontia,Phalangeridae,Spilocuscus,maculatus,Spilocuscus maculatus,4060,4.06,,0,-5.35,140.54
Xenarthra,Myrmecophagidae,Tamandua,mexicana,Tamandua mexicana,4040,4.04,4.88,19.7152,8.71,-86.73
Xenarthra,Dasypodidae,Dasypus,novemcinctus,Dasypus novemcinctus,4000,4,20.7,82.8,4.48,-71.74
Lagomorpha,Leporidae,Lepus,alleni,Lepus alleni,3930,3.93,16.1,63.273,27.64,-109.08
Rodentia,Sciuridae,Marmota,monax,Marmota monax,3880,3.88,137,531.56,48.68,-102.92
Xenarthra,Bradypodidae,Bradypus,variegatus,Bradypus variegatus,3860,3.86,512,1976.32,-5.77,-64.88
Xenarthra,Dasypodidae,Cabassous,centralis,Cabassous centralis,3810,3.81,,0,10.74,-80.43
Carnivora,Procyonidae,Nasua,nasua,Nasua nasua,3790,3.79,15.5,58.745,-11.55,-58.87
Rodentia,Sciuridae,Marmota,flaviventris,Marmota flaviventris,3710,3.71,6.9,25.599,42.67,-111.9
Primates,Indridae,Propithecus,verreauxi,Propithecus verreauxi,3650,3.65,150,547.5,-20.07,45.93
Carnivora,Canidae,Alopex,lagopus,Alopex lagopus,3600,3.6,0.1,0.36,65.45,-1.76E-08
Lagomorpha,Leporidae,Lepus,townsendii,Lepus townsendii,3380,3.38,5.24,17.7112,45.35,-105.06
Dasyuromorphia,Dasyuridae,Dasyurus,maculatus,Dasyurus maculatus,3360,3.36,3.5,11.76,-28.9,147.28
Carnivora,Felidae,Leopardus,wiedii,Leopardus wiedii,3270,3.27,,0,-3.38,-74.15
Carnivora,Viverridae,Paradoxurus,hermaphroditus,Paradoxurus hermaphroditus,3200,3.2,,0,12.12,99.45
Hyracoidea,Procaviidae,Dendrohyrax,dorsalis,Dendrohyrax dorsalis,3180,3.18,,0,3.97,8
Diprotodontia,Macropodidae,Setonix,brachyurus,Setonix brachyurus,3030,3.03,580,1757.4,-33.56,116.86
Rodentia,Dasyproctidae,Dasyprocta,leporina,Dasyprocta leporina,3020,3.02,50.4,152.208,-6.31,-55.99
Rodentia,Dasyproctidae,Dasyprocta,azarae,Dasyprocta azarae,2980,2.98,,0,-22.96,-53.44
Hyracoidea,Procaviidae,Procavia,capensis,Procavia capensis,2950,2.95,2720,8024,0.08,20.08
Diprotodontia,Macropodidae,Lagorchestes,conspicillatus,Lagorchestes conspicillatus,2820,2.82,42,118.44,-19.24,133.08
Diprotodontia,Potoroidae,Aepyprymnus,rufescens,Aepyprymnus rufescens,2800,2.8,40,112,-26.2,148.79
Diprotodontia,Phalangeridae,Trichosurus,vulpecula,Trichosurus vulpecula,2700,2.7,126,340.2,-27.96,134.29
Rodentia,Pedetidae,Pedetes,capensis,Pedetes capensis,2550,2.55,,0,-15.49,26.25
Carnivora,Procyonidae,Potos,flavus,Potos flavus,2480,2.48,34.5,85.56,0.3,-68.67
Didelphimorphia,Didelphidae,Didelphis,virginiana,Didelphis virginiana,2470,2.47,17.9,44.213,27.61,-89.73
Hyracoidea,Procaviidae,Heterohyrax,brucei,Heterohyrax brucei,2450,2.45,5700,13965,3.69,25.74
Lagomorpha,Leporidae,Lepus,californicus,Lepus californicus,2420,2.42,12,29.04,33.7,-108.3
Carnivora,Mustelidae,Mephitis,mephitis,Mephitis mephitis,2400,2.4,8.21,19.704,43.15,-94.89
Primates,Lemuridae,Eulemur,fulvus,Eulemur fulvus,2390,2.39,221,528.19,-18.71,47.04
Carnivora,Viverridae,Arctogalidia,trivirgata,Arctogalidia trivirgata,2320,2.32,,0,10.9,105.38
Xenarthra,Dasypodidae,Chaetophractus,nationi,Chaetophractus nationi,2170,2.17,,0,-19.24,-67.74
Carnivora,Viverridae,Nandinia,binotata,Nandinia binotata,2170,2.17,5,10.85,-3.92,11.45
Carnivora,Canidae,Vulpes,velox,Vulpes velox,2140,2.14,0.23,0.4922,33.24,-110.52
Carnivora,Viverridae,Genetta,tigrina,Genetta tigrina,2070,2.07,,0,-28.48,25.37
Artiodactyla,Tragulidae,Tragulus,javanicus,Tragulus javanicus,1870,1.87,,0,9.09,98.14
Carnivora,Viverridae,Fossa,fossana,Fossa fossana,1860,1.86,3.46,6.4356,-18.81,48.5
Rodentia,Caviidae,Dolichotis,salinicola,Dolichotis salinicola,1610,1.61,,0,-25.7,-62.5
Lagomorpha,Leporidae,Lepus,americanus,Lepus americanus,1570,1.57,100,157,52.03,-110.38
Pholidota,Manidae,Manis,tricuspis,Manis tricuspis,1540,1.54,44.9,69.146,-0.23,9.54
Xenarthra,Dasypodidae,Zaedyus,pichiy,Zaedyus pichiy,1530,1.53,,0,-40.89,-65.66
Peramelemorphia,Peramelidae,Isoodon,macrourus,Isoodon macrourus,1510,1.51,70,105.7,-21.13,138.53
Monotremata,Ornithorhynchidae,Ornithorhynchus,anatinus,Ornithorhynchus anatinus,1480,1.48,,0,-29.96,145.08
Xenarthra,Dasypodidae,Tolypeutes,matacus,Tolypeutes matacus,1340,1.34,7,9.38,-23.51,-61.26
Carnivora,Canidae,Vulpes,zerda,Vulpes zerda,1320,1.32,,0,25.73,15.99
Carnivora,Mustelidae,Martes,martes,Martes martes,1300,1.3,0.44,0.572,53.35,37.01
Rodentia,Muridae,Cricetomys,gambianus,Cricetomys gambianus,1270,1.27,,0,-6.06,11.72
Diprotodontia,Potoroidae,Bettongia,penicillata,Bettongia penicillata,1260,1.26,20,25.2,-25.14,130.23
Diprotodontia,Pseudocheiridae,Petauroides,volans,Petauroides volans,1260,1.26,69,86.94,-27.39,149.07
Primates,Galagonidae,Otolemur,crassicaudatus,Otolemur crassicaudatus,1250,1.25,88.5,110.625,-14.71,26.51
Peramelemorphia,Peramelidae,Macrotis,lagotis,Macrotis lagotis,1230,1.23,8,9.84,-22.16,129.28
Didelphimorphia,Didelphidae,Didelphis,marsupialis,Didelphis marsupialis,1150,1.15,70.5,81.075,2.79,-71.61
Dasyuromorphia,Dasyuridae,Dasyurus,geoffroii,Dasyurus geoffroii,1140,1.14,2.3,2.622,-33.17,118.37
Dasyuromorphia,Dasyuridae,Dasyurus,viverrinus,Dasyurus viverrinus,1130,1.13,19,21.47,-41.61,146.15
Diprotodontia,Potoroidae,Potorous,tridactylus,Potorous tridactylus,1090,1.09,21.4,23.326,-34.86,135.69
Primates,Loridae,Perodicticus,potto,Perodicticus potto,1080,1.08,8.53,9.2124,1.77,10.55
Peramelemorphia,Peroryctidae,Echymipera,rufescens,Echymipera rufescens,1050,1.05,,0,-7.55,140.5
Rodentia,Muridae,Ondatra,zibethicus,Ondatra zibethicus,992,0.992,,0,48.69,-110.38
Carnivora,Mustelidae,Mustela,putorius,Mustela putorius,984,0.984,0.83,0.81672,47.73,27.32
Didelphimorphia,Didelphidae,Chironectes,minimus,Chironectes minimus,979,0.979,,0,-6.63,-70.72
Primates,Loridae,Nycticebus,coucang,Nycticebus coucang,971,0.971,20,19.42,9.19,104.29
Rodentia,Dasyproctidae,Myoprocta,acouchy,Myoprocta acouchy,944,0.944,6.06,5.72064,-0.5,-55.83
Xenarthra,Dasypodidae,Chaetophractus,vellerosus,Chaetophractus vellerosus,939,0.939,,0,-23.25,-62.21
Primates,Cebidae,Aotus,trivirgatus,Aotus trivirgatus,912,0.912,24.5,22.344,4.15,-65.62
Carnivora,Procyonidae,Bassariscus,sumichrasti,Bassariscus sumichrasti,906,0.906,18.1,16.3986,15.06,-91.5
Carnivora,Mustelidae,Mustela,vison,Mustela vison,904,0.904,2.5,2.26,48.16,-111.87
Insectivora,Tenrecidae,Tenrec,ecaudatus,Tenrec ecaudatus,900,0.9,,0,-18.96,46.82
Diprotodontia,Pseudocheiridae,Pseudocheirus,peregrinus,Pseudocheirus peregrinus,894,0.894,655,585.57,-27.16,134.3
Lagomorpha,Leporidae,Sylvilagus,audubonii,Sylvilagus audubonii,883,0.883,290,256.07,33.57,-110.26
Carnivora,Mustelidae,Martes,americana,Martes americana,882,0.882,0.67,0.59094,52.85,-107.58
Rodentia,Bathyergidae,Bathyergus,suillus,Bathyergus suillus,830,0.83,70,58.1,-33.07,20.54
Peramelemorphia,Peroryctidae,Echymipera,kalubu,Echymipera kalubu,825,0.825,,0,-5.19,141.05
Insectivora,Erinaceidae,Echinosorex,gymnura,Echinosorex gymnura,818,0.818,,0,2.69,107.22
Chiroptera,Pteropodidae,Pteropus,giganteus,Pteropus giganteus,818,0.818,,0,17.95,81.85
Rodentia,Aplodontidae,Aplodontia,rufa,Aplodontia rufa,806,0.806,778,627.068,43.22,-121.47
Insectivora,Erinaceidae,Erinaceus,europaeus,Erinaceus europaeus,800,0.8,123,98.4,53.78,15.38
Rodentia,Caviidae,Kerodon,rupestris,Kerodon rupestris,800,0.8,,0,-9.78,-42.32
Rodentia,Sciuridae,Cynomys,ludovicianus,Cynomys ludovicianus,797,0.797,1830,1458.51,39.25,-104.8
Carnivora,Herpestidae,Herpestes,javanicus,Herpestes javanicus,765,0.765,39.6,30.294,14.29,78.4
Primates,Cebidae,Saimiri,sciureus,Saimiri sciureus,750,0.75,36.1,27.075,-0.64,-61.33
Rodentia,Sciuridae,Spermophilus,undulatus,Spermophilus undulatus,743,0.743,296,219.928,53.49,104.83
Carnivora,Herpestidae,Suricata,suricatta,Suricata suricatta,730,0.73,,0,-24.77,21.29
Peramelemorphia,Peramelidae,Perameles,nasuta,Perameles nasuta,720,0.72,90,64.8,-27.82,148.03
Chiroptera,Pteropodidae,Pteropus,poliocephalus,Pteropus poliocephalus,702,0.702,,0,-29.16,147.48
Primates,Megaladapidae,Lepilemur,mustelinus,Lepilemur mustelinus,671,0.671,259,173.789,-15.86,49.48
Rodentia,Muridae,Uromys,caudimaculatus,Uromys caudimaculatus,644,0.644,,0,-9.25,140.75
Rodentia,Muridae,Hydromys,chrysogaster,Hydromys chrysogaster,626,0.626,,0,-22.13,133.34
Rodentia,Sciuridae,Xerus,princeps,Xerus princeps,626,0.626,,0,-21.86,15.86
Rodentia,Sciuridae,Sciurus,aberti,Sciurus aberti,623,0.623,114,71.022,,
Rodentia,Sciuridae,Spermophilus,beecheyi,Spermophilus beecheyi,598,0.598,1100,657.8,38.32,-119.65
Rodentia,Sciuridae,Xerus,inauris,Xerus inauris,572,0.572,,0,-24.11,21.48
Carnivora,Mustelidae,Spilogale,putorius,Spilogale putorius,569,0.569,4.74,2.69706,36.59,-101.85
Didelphimorphia,Didelphidae,Lutreolina,crassicaudata,Lutreolina crassicaudata,557,0.557,,0,-14.37,-58.27
Rodentia,Sciuridae,Sciurus,carolinensis,Sciurus carolinensis,546,0.546,690,376.74,39.17,-87.41
Dasyuromorphia,Myrmecobiidae,Myrmecobius,fasciatus,Myrmecobius fasciatus,522,0.522,5.3,2.7666,-33.82,117.04
Carnivora,Herpestidae,Galerella,sanguinea,Galerella sanguinea,517,0.517,,0,-7.06,16.93
Primates,Callitrichidae,Saguinus,geoffroyi,Saguinus geoffroyi,493,0.493,5.13,2.52909,6.88,-79.89
Rodentia,Ctenomyidae,Ctenomys,peruanus,Ctenomys peruanus,489,0.489,3770,1843.53,-15.83,-70.04
Dasyuromorphia,Dasyuridae,Dasyurus,hallucatus,Dasyurus hallucatus,484,0.484,16.2,7.8408,-18,133.98
Rodentia,Chinchillidae,Chinchilla,lanigera,Chinchilla lanigera,480,0.48,944,453.12,-30.39,-71.01
Rodentia,Muridae,Cannomys,badius,Cannomys badius,472,0.472,,0,19.83,95.26
Chiroptera,Pteropodidae,Pteropus,hypomelanus,Pteropus hypomelanus,433,0.433,,0,3.49,116.39
Chiroptera,Pteropodidae,Dobsonia,moluccensis,Dobsonia moluccensis,431,0.431,,0,-7.8,139.66
Rodentia,Muridae,Cricetus,cricetus,Cricetus cricetus,429,0.429,,0,51.6,48.95
Didelphimorphia,Didelphidae,Philander,opossum,Philander opossum,428,0.428,59.2,25.3376,-4.21,-67.48
Peramelemorphia,Peramelidae,Isoodon,auratus,Isoodon auratus,425,0.425,173,73.525,-17.58,121.03
Rodentia,Sciuridae,Epixerus,wilsoni,Epixerus wilsoni,422,0.422,,0,,
Insectivora,Erinaceidae,Hemiechinus,aethiopicus,Hemiechinus aethiopicus,396,0.396,,0,21.78,21.36
Rodentia,Bathyergidae,Bathyergus,janetta,Bathyergus janetta,389,0.389,,0,-29.34,17.5
Rodentia,Caviidae,Galea,musteloides,Galea musteloides,387,0.387,,0,-26.77,-64.01
Chiroptera,Pteropodidae,Pteropus,scapulatus,Pteropus scapulatus,378,0.378,,0,-23.14,133.39
Didelphimorphia,Didelphidae,Metachirus,nudicaudatus,Metachirus nudicaudatus,367,0.367,25.6,9.3952,-5.33,-64.76
Rodentia,Sciuridae,Paraxerus,palliatus,Paraxerus palliatus,366,0.366,386,141.276,-12.11,38.07
Rodentia,Echimyidae,Proechimys,semispinosus,Proechimys semispinosus,359,0.359,753,270.327,11.5,-81.02
Insectivora,Erinaceidae,Hemiechinus,auritus,Hemiechinus auritus,342,0.342,,0,37.74,65.94
Rodentia,Sciuridae,Heliosciurus,rufobrachium,Heliosciurus rufobrachium,333,0.333,,0,3.98,10.35
Didelphimorphia,Didelphidae,Caluromys,derbianus,Caluromys derbianus,330,0.33,12,3.96,8.9,-87.48
Insectivora,Erinaceidae,Atelerix,albiventris,Atelerix albiventris,329,0.329,,0,0.04,16.93
Rodentia,Sciuridae,Spermophilus,richardsonii,Spermophilus richardsonii,325,0.325,375,121.875,49.39,-105.11
Rodentia,Sciuridae,Spermophilus,armatus,Spermophilus armatus,307,0.307,4610,1415.27,42.02,-111.53
Scandentia,Tupaiidae,Urogale,everetti,Urogale everetti,301,0.301,,0,8.01,124.24
Rodentia,Echimyidae,Thrichomys,apereoides,Thrichomys apereoides,298,0.298,,0,-14.22,-47.16
Primates,Galagonidae,Euoticus,elegantulus,Euoticus elegantulus,296,0.296,16.6,4.9136,-0.26,13.54
Primates,Callitrichidae,Callithrix,jacchus,Callithrix jacchus,291,0.291,512,148.992,-6.58,-40.28
Insectivora,Tenrecidae,Setifer,setosus,Setifer setosus,290,0.29,,0,-18.96,46.83
Rodentia,Muridae,Neotoma,cinerea,Neotoma cinerea,286,0.286,,0,50.09,-119.56
Rodentia,Ctenomyidae,Ctenomys,fulvus,Ctenomys fulvus,280,0.28,,0,-26.02,-68.21
Rodentia,Bathyergidae,Cryptomys,mechowi,Cryptomys mechowi,272,0.272,,0,-12.09,23.92
Rodentia,Sciuridae,Spermophilus,beldingi,Spermophilus beldingi,272,0.272,2340,636.48,41.29,-117.72
Rodentia,Muridae,Neofiber,alleni,Neofiber alleni,265,0.265,14700,3895.5,28.09,-82.6
Primates,Loridae,Arctocebus,calabarensis,Arctocebus calabarensis,258,0.258,6.29,1.62282,5.52,9.71
Chiroptera,Pteropodidae,Pteropus,rodricensis,Pteropus rodricensis,256,0.256,,0,-19.71,63.41
Xenarthra,Myrmecophagidae,Cyclopes,didactylus,Cyclopes didactylus,255,0.255,32.6,8.313,2.82,-66.28
Rodentia,Caviidae,Microcavia,niata,Microcavia niata,255,0.255,,0,-19.93,-67
Primates,Loridae,Loris,tardigradus,Loris tardigradus,249,0.249,72.8,18.1272,13.57,77.46
Rodentia,Sciuridae,Funisciurus,pyrropus,Funisciurus pyrropus,243,0.243,,0,2.62,8.96
Chiroptera,Pteropodidae,Dobsonia,pannietensis,Dobsonia pannietensis,238,0.238,,0,-10.03,152.18
Rodentia,Muridae,Tachyoryctes,splendens,Tachyoryctes splendens,227,0.227,3430,778.61,4.93,36.73
Rodentia,Muridae,Neotoma,fuscipes,Neotoma fuscipes,224,0.224,1700,380.8,37.83,-119.69
Rodentia,Sciuridae,Paraxerus,cepapi,Paraxerus cepapi,223,0.223,353,78.719,-13.98,25.21
Rodentia,Muridae,Rattus,villosissimus,Rattus villosissimus,222,0.222,3010,668.22,-21.35,134.63
Primates,Galagonidae,Galago,senegalensis,Galago senegalensis,216,0.216,90.4,19.5264,1.95,14.48
Rodentia,Sciuridae,Spermophilus,mohavensis,Spermophilus mohavensis,213,0.213,302,64.326,35.3,-117.52
Rodentia,Muridae,Neotoma,albigula,Neotoma albigula,208,0.208,601,125.008,29.26,-107.63
Rodentia,Sciuridae,Spermophilus,townsendii,Spermophilus townsendii,207,0.207,752,155.664,46.32,-119.95
Rodentia,Octodontidae,Octodon,degus,Octodon degus,203,0.203,1150,233.45,-31.83,-71.19
Rodentia,Geomyidae,Geomys,pinetis,Geomys pinetis,201,0.201,,0,30.12,-84.2
Rodentia,Octodontidae,Octodon,lunatus,Octodon lunatus,201,0.201,,0,-32.54,-71.36
Macroscelidea,Macroscelididae,Petrodromus,tetradactylus,Petrodromus tetradactylus,201,0.201,189,37.989,-13.25,28.01
Rodentia,Sciuridae,Tamiasciurus,hudsonicus,Tamiasciurus hudsonicus,200,0.2,172,34.4,50.04,-111.87
Primates,Cheirogaleidae,Cheirogaleus,medius,Cheirogaleus medius,197,0.197,225,44.325,-19.03,46.52
Rodentia,Muridae,Sigmodon,fulviventer,Sigmodon fulviventer,196,0.196,1310,256.76,27.7,-106.32
Dasyuromorphia,Dasyuridae,Phascogale,tapoatafa,Phascogale tapoatafa,195,0.195,111,21.645,-24.57,134.3
Carnivora,Mustelidae,Mustela,frenata,Mustela frenata,191,0.191,0.76,0.14516,19.52,-94.34
Rodentia,Bathyergidae,Georychus,capensis,Georychus capensis,189,0.189,1100,207.9,-30.12,24.44
Rodentia,Muridae,Nannospalax,leucodon,Nannospalax leucodon,189,0.189,,0,43.38,23.52
Chiroptera,Pteropodidae,Pteropus,pumilus,Pteropus pumilus,184,0.184,,0,11.83,123.16
Rodentia,Muridae,Nannospalax,ehrenbergi,Nannospalax ehrenbergi,180,0.18,,0,33.38,30.86
Chiroptera,Pteropodidae,Dobsonia,praedatrix,Dobsonia praedatrix,179,0.179,,0,-4.09,150.43
